iter	Passed	Remaining
849	1641	289
850	1643	287
851	1644	285
852	1646	283
853	1648	281
854	1649	279
855	1650	277
856	1652	275
857	1653	273
858	1654	271
859	1655	269
860	1656	267
861	1658	265
862	1660	263
863	1661	261
864	1663	259
865	1664	257
866	1666	255
867	1667	253
868	1668	251
869	1670	249
870	1672	247
871	1673	245
872	1675	243
873	1677	241
874	1679	239
875	1680	237
876	1682	235
877	1683	233
878	1685	231
879	1686	229
880	1687	227
881	1689	226
882	1691	224
883	1693	222
884	1695	220
885	1696	218
886	1697	216
887	1699	214
888	1700	212
889	1701	210
890	1702	208
891	1705	206
892	1707	204
893	1708	202
894	1709	200
895	1710	198
896	1712	196
897	1713	194
898	1714	192
899	1715	190
900	1717	188
901	1718	186
902	1720	184
903	1721	182
904	1723	180
905	1724	178
906	1725	176
907	1727	175
908	1728	173
909	1729	171
910	1731	169
911	1732	167
912	1734	165
913	1736	163
914	1737	161
915	1738	159
916	1739	157
917	1741	155
918	1742	153
919	1743	151
920	1744	149
921	1745	147
922	1747	145
923	1748	143
924	1750	141
925	1751	139
926	1753	138
927	1754	136
928	1755	134
929	1756	132
930	1758	130
931	1759	128
932	1761	126
933	1763	124
934	1765	122
935	1766	120
936	1767	118
937	1769	116
938	1770	115
939	1772	113
940	1773	111
941	1774	109
942	1775	107
943	1777	105
944	1779	103
945	1781	101
946	1782	99
947	1784	97
948	1785	95
949	1786	94
950	1788	92
951	1789	90
952	1790	88
953	1792	86
954	1794	84
955	1795	82
956	1796	80
957	1798	78
958	1799	76
959	1800	75
960	1802	73
961	1803	71
962	1804	69
963	1806	67
964	1807	65
965	1809	63
966	1810	61
967	1812	59
968	1813	58
969	1814	56
970	1816	54
971	1817	52
972	1818	50
973	1819	48
974	1822	46
975	1823	44
976	1824	42
977	1825	41
978	1827	39
979	1828	37
980	1829	35
981	1830	33
982	1832	31
983	1833	29
984	1834	27
985	1835	26
986	1837	24
987	1839	22
988	1840	20
989	1841	18
990	1842	16
991	1844	14
992	1845	13
993	1846	11
994	1847	9
995	1849	7
996	1850	5
997	1852	3
998	1853	1
999	1854	0
